species,Long,Lat
Acianthera ochreata,-40.654222,-11.053694
Acianthera ochreata,-38.064694,-7.8235
Gomesa varicosa,-41.092608,-3.567575
Habenaria obtusa,-35.530594,-6.843138
Trichocentrum caatingaense,-35.756009,-6.968679
Cattleya elongata,-41.472057,-12.458393
Epidendrum secundum,-41.471867,-12.45844
Eulophia maculata,-41.491944,-12.488056
Vanilla palmarum,-40.620278,-11.805556
Vanilla palmarum,-36.956111,-8.435833
Prescottia plantaginifolia,-37.030833,-8.298889
Eulophia maculata,-44.362936,-15.485045
Encyclia alboxanthina,-41.34,-12.973
Trichocentrum caatingaense,-38.848458,-4.189808
Encyclia alboxanthina,-41.227822,-11.571083
Cleistes parviflora,-41.907897,-13.266471
Epidendrum secundum,-35.783333,-8.2
Encyclia alboxanthina,-41.506603,-13.091868
Encyclia alboxanthina,-41.207686,-11.59215
Epidendrum orchidiflorum,-41.871572,-13.460439
Catasetum luridum,-41.016456,-10.671966
Sobralia sessilis,-41.455142,-12.600633
Cyrtopodium aliciae,-41.354553,-12.996325
Sobralia liliastrum,-41.3872,-12.565948
Epidendrum orchidiflorum,-41.215062,-12.909577
Sobralia liliastrum,-41.39863,-12.587693
Epistephium williamsii,-41.508797,-12.544258
Gomesa blanchetii,-41.302647,-11.539475
Epidendrum orchidiflorum,-41.449562,-12.482925
Cattleya pfisteri,-41.488468,-12.600961
Maxillaria notylioglossa,-41.409926,-12.894155
Acianthera ochreata,-41.179518,-11.565769
Sobralia liliastrum,-41.298264,-12.497492
Epidendrum secundum,-41.472102,-12.458747
Habenaria hamata,-41.485221,-12.507262
Cattleya elongata,-41.273056,-11.496111
Epidendrum orchidiflorum,-41.296069,-12.497039
Epidendrum orchidiflorum,-41.449509,-12.482892
Sobralia liliastrum,-41.526791,-12.457324
Cattleya elongata,-41.411922,-12.532386
Epidendrum orchidiflorum,-41.449519,-12.482873
Brassavola tuberculata,-41.033275,-11.553815
Epidendrum secundum,-41.473082,-12.45542
Prosthechea moojenii,-41.416956,-12.770864
Cyrtopodium aliciae,-41.283191,-12.83792
